,URL from a Topic on Udemy,Max Courses,Max Related Topics,Position,Course Title,Course Link,Description,Price,Instructor,Rating,Course Length,Number of Lectures,Learner Level
,https://www.udemy.com/topic/javascript/,120,5,11,"Modern JavaScript (Complete guide, from Novice to Ninja)
Learn Modern JavaScript from the very start to ninja-level & build awesome JavaScript applications.Rating: 4.9 out of 510749 reviews20.5 total hours188 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/modern-javascript-from-novice-to-ninja/,Learn Modern JavaScript from the very start to ninja-level & build awesome JavaScript applications.,"₩77,000",The Net Ninja (Shaun Pelling),4.9,20.5 total hours,188 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,12,"Advanced Javascript
In only seven hours you will learn enough javascript to transform from a Junior JS Dev into a Senior JS GuruRating: 4.6 out of 59407 reviews6.5 total hours47 lecturesIntermediateCurrent price: ₩59,000",https://www.udemy.com/course/javascript-advanced/,In only seven hours you will learn enough javascript to transform from a Junior JS Dev into a Senior JS Guru,"₩59,000",Asim Hussain,4.6,6.5 total hours,47 lectures,Intermediate
,https://www.udemy.com/topic/javascript/,120,5,13,"20 Web Projects With Vanilla JavaScript
Build 20 mini frontend projects from scratch with HTML5, CSS & JavaScript (No frameworks or libraries)Rating: 4.7 out of 56924 reviews16 total hours121 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/web-projects-with-vanilla-javascript/,"Build 20 mini frontend projects from scratch with HTML5, CSS & JavaScript (No frameworks or libraries)","₩77,000",Brad Traversy,4.7,16 total hours,121 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,14,"Accelerated JavaScript Training
Take a deep dive into JavaScript, a Must-Know Language in Web Development, with a Hands-on, Example-driven ApproachRating: 4.5 out of 56469 reviews7.5 total hours128 lecturesAll LevelsCurrent price: ₩66,000",https://www.udemy.com/course/javascript-bootcamp-2016/,"Take a deep dive into JavaScript, a Must-Know Language in Web Development, with a Hands-on, Example-driven Approach","₩66,000",Maximilian Schwarzmüller,4.5,7.5 total hours,128 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,15,"Accelerated ES6 JavaScript Training
Learn and Use the Future of JavaScript - Today!Rating: 4.6 out of 55796 reviews6 total hours115 lecturesIntermediateCurrent price: ₩77,000",https://www.udemy.com/course/es6-bootcamp-next-generation-javascript/,Learn and Use the Future of JavaScript - Today!,"₩77,000",Maximilian Schwarzmüller,4.6,6 total hours,115 lectures,Intermediate
,https://www.udemy.com/topic/javascript/,120,5,16,"JavaScript Beginner Bootcamp (2024)
JavaScript for Beginners: Projects based learning, whiteboard animations, coding in the browser and quizzes.Rating: 4.6 out of 55746 reviews38.5 total hours387 lecturesBeginnerCurrent price: ₩28,000",https://www.udemy.com/course/javascript-the-basics-for-beginners/,"JavaScript for Beginners: Projects based learning, whiteboard animations, coding in the browser and quizzes.","₩28,000",Rob Merrill,4.6,38.5 total hours,387 lectures,Beginner
,https://www.udemy.com/topic/javascript/,120,5,17,"Learn JavaScript: Full-Stack from Scratch
Understand the JavaScript language itself, Node.js, MongoDB, The Web Browser and More To Create Meaningful ApplicationsRating: 4.7 out of 55121 reviews28 total hours131 lecturesAll LevelsCurrent price: ₩99,000",https://www.udemy.com/course/learn-javascript-full-stack-from-scratch/,"Understand the JavaScript language itself, Node.js, MongoDB, The Web Browser and More To Create Meaningful Applications","₩99,000",Brad Schiff,4.7,28 total hours,131 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,18,"Complete JAVASCRIPT with HTML5,CSS3 from zero to Expert-2024
Learn HTML5, CSS3, JavaScript by building a modern looking responsive website.Rating: 4.3 out of 54909 reviews17 total hours64 lecturesAll LevelsCurrent price: ₩59,000",https://www.udemy.com/course/build-responsive-website-using-html5-css3-js-and-bootstrap-p/,"Learn HTML5, CSS3, JavaScript by building a modern looking responsive website.","₩59,000",Hemanth kumar,4.3,17 total hours,64 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,19,"Essentials in JavaScript ES6 - A Fun and Clear Introduction
A creative and fun course on JavaScript ES6! Has Webpack, Babel, React, and all the new syntax you need to code in ES6!Rating: 4.4 out of 54836 reviews2 total hours43 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/essentials-in-javascript-es6/,"A creative and fun course on JavaScript ES6! Has Webpack, Babel, React, and all the new syntax you need to code in ES6!","₩25,000",David Joseph Katz,4.4,2 total hours,43 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,20,"Master JavaScript from Basics to Advanced [2024] | 5+ Bonus
A perfect JavaScript course for all those who want to learn and master JavaScript programming skills right from scratch.Rating: 4.2 out of 54411 reviews10 total hours87 lecturesBeginnerCurrent price: ₩49,000",https://www.udemy.com/course/javascript-basics-to-advanced/,A perfect JavaScript course for all those who want to learn and master JavaScript programming skills right from scratch.,"₩49,000","EdYoda Digital University, Qaifi Khan",4.2,10 total hours,87 lectures,Beginner
,https://www.udemy.com/topic/javascript/,120,5,21,"Javascript Tutorial and Projects Course
Learn Javascript by Building 30+ Interesting ProjectsRating: 4.7 out of 54290 reviews46.5 total hours448 lecturesAll LevelsCurrent price: ₩88,000",https://www.udemy.com/course/javascript-tutorial-for-beginners-w/,Learn Javascript by Building 30+ Interesting Projects,"₩88,000",John Smilga,4.7,46.5 total hours,448 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,22,"Learn JavaScript - For Beginners
Learn how to Code Web Pages using JavaScriptRating: 4.1 out of 54212 reviews1.5 total hours43 lecturesBeginnerCurrent price: ₩25,000",https://www.udemy.com/course/learn-javascript-for-beginners-v/,Learn how to Code Web Pages using JavaScript,"₩25,000",YouAccel Training,4.1,1.5 total hours,43 lectures,Beginner
,https://www.udemy.com/topic/javascript/,120,5,23,"The Complete Full-Stack JavaScript Course
Learn full-stack web development using JavaScript (ReactJS, NodeJS, LoopbackJS, Redux and Material-UI)!Rating: 4.5 out of 54144 reviews24.5 total hours96 lecturesAll LevelsCurrent price: ₩49,000",https://www.udemy.com/course/full-stack-javascript/,"Learn full-stack web development using JavaScript (ReactJS, NodeJS, LoopbackJS, Redux and Material-UI)!","₩49,000","Joseph Delgadillo, Nick Germaine",4.5,24.5 total hours,96 lectures,All Levels
